uuid,manufacturer_material_uuid,vendor_uuid,rate,rate_before_tax,tax_amount,tax_percent,currency,updated_at
4bb75595-bc97-4dc0-8c4e-f1b6ba83f423,94e32494-a8d7-4dcc-97f0-2386dcaeaac8,4bbb556b-6cae-48d4-8bdc-6d10d9bd4cac,37,31.35593220338983,5.6440677966101696,18,INR,2025-12-30T03:30:00.000Z
9d32a59f-7634-484c-ad73-bc44f14fb300,94e32494-a8d7-4dcc-97f0-2386dcaeaac8,6ba274be-8800-4ce2-b255-b3294aac0507,37,31.35593220338983,5.6440677966101696,18,INR,2025-12-30T03:30:00.000Z
0e3432e5-496f-48fe-9443-bfd81f631c9c,94e32494-a8d7-4dcc-97f0-2386dcaeaac8,1ceb5d2a-54bd-4ff5-9b67-0fe412b8f305,35,29.661016949152543,5.338983050847457,18,INR,2025-12-30T03:30:00.000Z
27bf94eb-9fab-49dc-9042-ef4d5cee8c46,94e32494-a8d7-4dcc-97f0-2386dcaeaac8,c18bfbcb-7f6d-4011-a77f-2fab25e06d85,37,31.35593220338983,5.6440677966101696,18,INR,2025-12-30T03:30:00.000Z
8c4a904f-a4fc-48a2-a1d0-566076ac29de,94e32494-a8d7-4dcc-97f0-2386dcaeaac8,0da2301d-3c5f-406c-9b2a-1b38d69dc354,37,31.35593220338983,5.6440677966101696,18,INR,2025-12-30T03:30:00.000Z
8e436187-faf2-4990-8270-562ee240c0ab,d487c2aa-f0fb-41ce-8a04-2a0e1ec21923,4bbb556b-6cae-48d4-8bdc-6d10d9bd4cac,37,31.35593220338983,5.6440677966101696,18,INR,2025-12-30T03:30:00.000Z
cb0a26e3-83b9-4619-925f-ec2363ef1d71,d487c2aa-f0fb-41ce-8a04-2a0e1ec21923,6ba274be-8800-4ce2-b255-b3294aac0507,37,31.35593220338983,5.6440677966101696,18,INR,2025-12-30T03:30:00.000Z
768bf39a-adff-48f4-bf63-7e9288bee772,d487c2aa-f0fb-41ce-8a04-2a0e1ec21923,1ceb5d2a-54bd-4ff5-9b67-0fe412b8f305,35,29.661016949152543,5.338983050847457,18,INR,2025-12-30T03:30:00.000Z
85a89489-f320-457e-80a0-473f4ae674e6,d487c2aa-f0fb-41ce-8a04-2a0e1ec21923,c18bfbcb-7f6d-4011-a77f-2fab25e06d85,37,31.35593220338983,5.6440677966101696,18,INR,2025-12-30T03:30:00.000Z
78294e62-9f27-4dc4-be4d-019348914329,d487c2aa-f0fb-41ce-8a04-2a0e1ec21923,0da2301d-3c5f-406c-9b2a-1b38d69dc354,37,31.35593220338983,5.6440677966101696,18,INR,2025-12-30T03:30:00.000Z
4ff3b9fb-44fc-4cd9-a04f-aa3b5ffb2cca,9cf09e6c-18e2-42eb-bfc6-5d0db7f63dba,4bbb556b-6cae-48d4-8bdc-6d10d9bd4cac,37,31.35593220338983,5.6440677966101696,18,INR,2025-12-30T03:30:00.000Z
f107f4a5-6116-44cc-bf00-538b83aaecd5,9cf09e6c-18e2-42eb-bfc6-5d0db7f63dba,6ba274be-8800-4ce2-b255-b3294aac0507,37,31.35593220338983,5.6440677966101696,18,INR,2025-12-30T03:30:00.000Z
a91f0ad6-915e-4f2f-bb4e-32653f364dfc,9cf09e6c-18e2-42eb-bfc6-5d0db7f63dba,1ceb5d2a-54bd-4ff5-9b67-0fe412b8f305,35,29.661016949152543,5.338983050847457,18,INR,2025-12-30T03:30:00.000Z
5d3f1ed7-1de2-4a2d-9389-30e25c2a43e5,9cf09e6c-18e2-42eb-bfc6-5d0db7f63dba,c18bfbcb-7f6d-4011-a77f-2fab25e06d85,37,31.35593220338983,5.6440677966101696,18,INR,2025-12-30T03:30:00.000Z
6ee84ab1-2576-4251-864f-e6550be9299e,9cf09e6c-18e2-42eb-bfc6-5d0db7f63dba,0da2301d-3c5f-406c-9b2a-1b38d69dc354,37,31.35593220338983,5.6440677966101696,18,INR,2025-12-30T03:30:00.000Z
6399a212-1b08-43d2-8719-aa36abc83676,041aeb62-91d8-4bd5-842a-4c7ce8c567ef,4bbb556b-6cae-48d4-8bdc-6d10d9bd4cac,37,31.35593220338983,5.6440677966101696,18,INR,2025-12-30T03:30:00.000Z
51dad513-a34e-475a-9701-5f8fc0c429b7,041aeb62-91d8-4bd5-842a-4c7ce8c567ef,6ba274be-8800-4ce2-b255-b3294aac0507,37,31.35593220338983,5.6440677966101696,18,INR,2025-12-30T03:30:00.000Z
9c9cbd2d-3d50-4cf9-9d26-a2cbc399e64c,041aeb62-91d8-4bd5-842a-4c7ce8c567ef,1ceb5d2a-54bd-4ff5-9b67-0fe412b8f305,35,29.661016949152543,5.338983050847457,18,INR,2025-12-30T03:30:00.000Z
e2dfd11d-62b7-48cd-bada-ab1ef3e1a304,041aeb62-91d8-4bd5-842a-4c7ce8c567ef,c18bfbcb-7f6d-4011-a77f-2fab25e06d85,37,31.35593220338983,5.6440677966101696,18,INR,2025-12-30T03:30:00.000Z
