uuid,manufacturer_uuid,material_uuid,model,selling_lot_size,max_retail_price,currency,website,part_number,updated_at,photo_uuid
300ce477-ff55-41f5-a238-c228c3abc630,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,e1a071da-3418-48bf-bb6a-7882d2fc6d22,Metal,1,50,INR,,,2025-12-30T03:30:00.000Z,
d3f1e580-78ee-4e80-82b8-0533e13dbe7c,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,e1a071da-3418-48bf-bb6a-7882d2fc6d22,PVC,1,40,INR,,,2025-12-30T03:30:00.000Z,
70f8beea-87c4-419d-97d8-86052f418997,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,e709988d-5de7-4963-8a5f-715fdb82493f,Metal,1,40,INR,,,2025-12-30T03:30:00.000Z,
a4d7e538-a566-463d-9212-87edfd15f113,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,e709988d-5de7-4963-8a5f-715fdb82493f,PVC,1,40,INR,,,2025-12-30T03:30:00.000Z,
ea13b0a0-bdb0-4632-a72a-46821bea5d5f,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,c5b2239e-f60a-4603-bcc9-f402c027bdaf,Metal,1,40,INR,,,2025-12-30T03:30:00.000Z,
68cc3557-be0a-4ff0-b16d-45760e912e30,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,c5b2239e-f60a-4603-bcc9-f402c027bdaf,PVC,1,40,INR,,,2025-12-30T03:30:00.000Z,
6824143d-9744-4f54-8a67-d137b4936dd8,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,dd33b2a1-6edf-4f18-96d3-26923fc5edf2,Metal,1,40,INR,,,2025-12-30T03:30:00.000Z,
2a8ba866-1689-4c87-b74e-af833f0edae8,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,dd33b2a1-6edf-4f18-96d3-26923fc5edf2,PVC,1,40,INR,,,2025-12-30T03:30:00.000Z,
92ce17cd-1085-4d7e-ac75-bd1ef81e85eb,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,a728b9c0-2edb-4548-8e2d-4abb877877fe,Metal,1,40,INR,,,2025-12-30T03:30:00.000Z,
4ae4e9de-471b-4e62-b93a-c11dffbdf554,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,a728b9c0-2edb-4548-8e2d-4abb877877fe,PVC,1,40,INR,,,2025-12-30T03:30:00.000Z,
4c605a2f-ad10-426e-9b2f-a720794964bd,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,ae2c38a4-4bce-47c5-b87b-e8d783c8560d,Metal,1,40,INR,,,2025-12-30T03:30:00.000Z,
9376f1d5-01ef-4fac-958c-1ae449e154d2,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,ae2c38a4-4bce-47c5-b87b-e8d783c8560d,PVC,1,40,INR,,,2025-12-30T03:30:00.000Z,
36fa0a88-cc6e-4c98-9bc2-8d62d93ac9a6,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,b9a6518a-4902-4759-a268-3d5ef41c54ce,Metal,270,40,INR,,,2025-12-30T03:30:00.000Z,
c207dd78-8a01-4d68-a133-9bc4380bd7d2,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,b9a6518a-4902-4759-a268-3d5ef41c54ce,PVC,180,40,INR,,,2025-12-30T03:30:00.000Z,
94e32494-a8d7-4dcc-97f0-2386dcaeaac8,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,ffa5ce56-a174-4aef-a332-a7bb79d8c82a,Metal,1,40,INR,,,2025-12-30T03:30:00.000Z,
041aeb62-91d8-4bd5-842a-4c7ce8c567ef,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,ffa5ce56-a174-4aef-a332-a7bb79d8c82a,PVC,1,40,INR,,,2025-12-30T03:30:00.000Z,
7c06c61d-b134-41d7-948f-2ae40113397c,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,b95a58ea-70e8-4322-ad60-49de8b0c629d,Metal,1,40,INR,,,2025-12-30T03:30:00.000Z,
0bd113d8-1af5-40cf-a84e-2794c4b84ce4,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,b95a58ea-70e8-4322-ad60-49de8b0c629d,PVC,1,40,INR,,,2025-12-30T03:30:00.000Z,
4e7843fb-06bc-4222-8423-f616d75df767,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,6be9ca63-e4d4-4994-8cd3-f22f24c42271,Metal,1,40,INR,,,2025-12-30T03:30:00.000Z,
7dd35408-eeb6-42ba-9ea2-af405d130988,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,6be9ca63-e4d4-4994-8cd3-f22f24c42271,PVC,1,40,INR,,,2025-12-30T03:30:00.000Z,
982717c5-58b9-45bd-935e-f8ad77a75caa,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,35e63739-77d4-44c5-8b41-9e5621746cd1,Metal,1,40,INR,,,2025-12-30T03:30:00.000Z,
c0e373b9-4d1d-425e-8e92-544abcb8de79,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,35e63739-77d4-44c5-8b41-9e5621746cd1,PVC,1,40,INR,,,2025-12-30T03:30:00.000Z,
d5ac622b-2ffe-4931-85ff-b39558b9dca7,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,827e1ae8-21d0-42da-93a4-bdd97007ed18,Metal,1,40,INR,,,2025-12-30T03:30:00.000Z,
22e0e1e5-ad8d-42f0-a524-eea68f56fbbb,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,827e1ae8-21d0-42da-93a4-bdd97007ed18,PVC,1,40,INR,,,2025-12-30T03:30:00.000Z,
dd0aa821-ebf2-47d6-a93d-a0cafef652fe,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,7989ab50-0500-4657-9807-2f5085cdac89,Metal,1,40,INR,,,2025-12-30T03:30:00.000Z,
33ff9c65-e40f-4a4e-838f-ff360dc90b6e,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,7989ab50-0500-4657-9807-2f5085cdac89,PVC,1,40,INR,,,2025-12-30T03:30:00.000Z,
48f772c2-2e02-4060-ab06-908d34637b2b,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,13b04de3-2f6d-4e33-9888-9b09c3f5758f,Metal,1,40,INR,,,2025-12-30T03:30:00.000Z,
2d831a23-7eb4-4618-8e48-b1da66969a04,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,13b04de3-2f6d-4e33-9888-9b09c3f5758f,PVC,1,40,INR,,,2025-12-30T03:30:00.000Z,
88497a41-a019-4238-aa8a-1ae14af7565f,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,88cbe30e-79a5-4645-828a-e93aebfbc56b,Metal,1,40,INR,,,2025-12-30T03:30:00.000Z,
3d55d19b-a1d7-432a-a780-1aac0c4f8674,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,88cbe30e-79a5-4645-828a-e93aebfbc56b,PVC,1,40,INR,,,2025-12-30T03:30:00.000Z,
063698f1-e588-42d7-bedb-c1efab2b2b5f,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,9b6baa5f-08f1-46dc-8983-3b9072374f63,Metal,1,40,INR,,,2025-12-30T03:30:00.000Z,
99f03df2-7ba8-4d96-9d2c-77a515a5e4ce,7b5c688e-e2e8-4ae7-96ac-2efb5d767dab,9b6baa5f-08f1-46dc-8983-3b9072374f63,PVC,1,40,INR,,,2025-12-30T03:30:00.000Z,
a6aa2458-f989-4bd4-8d5f-f0c2edfe8b15,90a218f0-fa16-4401-88c4-f8feb88cf8e6,9ad6917c-046a-4f47-9503-b43c20e6216f,FR,180,40,INR,,,2025-12-30T03:30:00.000Z,
f58c51ae-109a-47b9-b7c3-f449e0923d87,90a218f0-fa16-4401-88c4-f8feb88cf8e6,9ad6917c-046a-4f47-9503-b43c20e6216f,FRLS,180,40,INR,,,2025-12-30T03:30:00.000Z,
